L,sigma,N,K,Final_Eq,CAGR,Sharpe,MaxDD,Avg_Exposure,Turnover,Market_Eq,Market_Sharpe
20,0.3,30,5,24.366139597151523,0.15382273577336414,0.6720682693580211,-0.6493820165484091,0.4503408600035862,0.043133798041717686,347.9555855029058,0.7866481504756001
20,0.3,30,10,71.57618364332234,0.21090035176642008,0.8261870434731413,-0.6040257345792166,0.46301543346847474,0.03075926415325022,347.9555855029058,0.7866481504756001
20,0.3,30,15,24.265169509666386,0.1536080707390428,0.6779411910757612,-0.6533213521044058,0.4461273508590907,0.025689817349464808,347.9555855029058,0.7866481504756001
20,0.3,30,20,107.52772740196193,0.23318518809807598,0.9091698028751738,-0.46280295263475113,0.4555360836225519,0.021649233147687533,347.9555855029058,0.7866481504756001
20,0.3,60,5,26.360997528954282,0.15880901981861006,0.7246430762597302,-0.5919762239811108,0.420073484554319,0.03710319299214815,323.8219362708646,0.7825213986599706
20,0.3,60,10,54.8769347189947,0.19772329500437325,0.8370316273153621,-0.558806545216965,0.4319907857622696,0.02652945908738923,323.8219362708646,0.7825213986599706
20,0.3,60,15,21.28278410221677,0.1476920634204324,0.6842643782905771,-0.6238518555629062,0.41553349880098833,0.02222425918484472,323.8219362708646,0.7825213986599706
20,0.3,60,20,78.31100426011575,0.21706404624061593,0.9100576436710177,-0.42609839848895303,0.4293085247651339,0.018992678476084563,323.8219362708646,0.7825213986599706
20,0.3,90,5,21.481571919362295,0.14902853352929446,0.7087634473218465,-0.6018697067441168,0.4096765410426178,0.03492173989558826,333.15982776179777,0.7879929471537512
20,0.3,90,10,49.258933275992945,0.19303890082848896,0.8423873396131567,-0.5550164124514969,0.4206295318711955,0.02501516315789605,333.15982776179777,0.7879929471537512
20,0.3,90,15,19.62331012544645,0.14432965391612296,0.6880157398580378,-0.606121788914713,0.40525450914223043,0.020922655191075123,333.15982776179777,0.7879929471537512
20,0.3,90,20,77.91335152471912,0.2180729301687987,0.9349121853638748,-0.406385712547365,0.41724137653038645,0.018123264813589442,333.15982776179777,0.7879929471537512
20,0.3,120,5,19.071624768577543,0.14368021373813633,0.6930948767779582,-0.5873610472496178,0.4029611887809812,0.034230758948868935,278.9055320827648,0.7740306287803669
20,0.3,120,10,44.61887952586271,0.18881316873543175,0.8370942955577942,-0.5401951317772906,0.41267864042502095,0.02423609266660843,278.9055320827648,0.7740306287803669
20,0.3,120,15,16.697792803527758,0.13677846445149777,0.6701369359501285,-0.6014288223969279,0.3989186572438656,0.020407071515297998,278.9055320827648,0.7740306287803669
20,0.3,120,20,65.43374693295266,0.20972202920239247,0.9214298992397506,-0.39709755219831655,0.4079096946147734,0.01759229861214509,278.9055320827648,0.7740306287803669
20,0.3,150,5,17.665155020758114,0.14051007889607603,0.6855137550060596,-0.5820979293320394,0.39807190381162166,0.03367523061646586,216.4639827575402,0.7537856090978027
20,0.3,150,10,38.834090683887936,0.18239324201639628,0.8207099700783946,-0.5413912208984426,0.407706472862526,0.023858174697290863,216.4639827575402,0.7537856090978027
20,0.3,150,15,15.463673776899865,0.13358095994213537,0.6620214533902189,-0.6010015370055641,0.39370694035104953,0.02007801103234959,216.4639827575402,0.7537856090978027
20,0.3,150,20,51.70048021902721,0.19798712316650158,0.889835448686501,-0.3978643852721142,0.40202777571361176,0.01745116049945677,216.4639827575402,0.7537856090978027
20,0.3,180,5,17.772525451635975,0.1416505986103127,0.6925504181599447,-0.5888222900518804,0.3955420271996345,0.033246522191931464,255.58492317604953,0.7732010646331382
20,0.3,180,10,37.1133396546237,0.1810127322400943,0.8168563285765943,-0.5489084039284018,0.4054102626890258,0.02362923134699675,255.58492317604953,0.7732010646331382
20,0.3,180,15,14.913590214238932,0.13247025101833332,0.6606386119824893,-0.602459598324883,0.3901232099647629,0.01994910506290571,255.58492317604953,0.7732010646331382
20,0.3,180,20,51.997631008235686,0.19949014877338134,0.8970305533638874,-0.39713603241678985,0.39803883649334526,0.017209272292748417,255.58492317604953,0.7732010646331382
20,0.4,30,5,45.54825369731278,0.18662295301178888,0.6635005317786405,-0.7634967400607966,0.5963579342796458,0.0568832932985972,347.9555855029058,0.7866481504756001
20,0.4,30,10,187.24848564265866,0.26421937600126677,0.8196313170012669,-0.7231561333787966,0.6128999516493188,0.04043791058196266,347.9555855029058,0.7866481504756001
20,0.4,30,15,45.011782947935906,0.18599316087743079,0.665806229409823,-0.7660254546933538,0.5903628653327556,0.03382443311617225,347.9555855029058,0.7866481504756001
20,0.4,30,20,344.5875322141588,0.29924553218577876,0.9104037684193106,-0.5770247160711586,0.6013866299940012,0.028345433834887516,347.9555855029058,0.7866481504756001
20,0.4,60,5,58.54940323556848,0.20122350729464844,0.7249288497941089,-0.7050203190104165,0.5597821187014732,0.04938080531363839,323.8219362708646,0.7825213986599706
20,0.4,60,10,153.5874573176268,0.2545602857229723,0.8381977249357092,-0.6737466197850956,0.5758065863205845,0.035336386510697274,323.8219362708646,0.7825213986599706
20,0.4,60,15,44.15602355125175,0.18605258696490345,0.6848430207911866,-0.7353123959408407,0.5537729730243217,0.029596119973971262,323.8219362708646,0.7825213986599706
20,0.4,60,20,246.94238832327616,0.28168790207830274,0.9100576436710177,-0.5355414315732901,0.5724113663535119,0.025323571301446086,323.8219362708646,0.7825213986599706
20,0.4,90,5,45.69216320469326,0.1889843893692733,0.7087634473218465,-0.7143294548035566,0.5462353880568238,0.04656231986078435,333.15982776179777,0.7879929471537512
